"","Airline","Aircraft","FlightDuration","TravelMonth","IsInternational","SeatsEconomy","SeatsPremium","PitchEconomy","PitchPremium","WidthEconomy","WidthPremium","PriceEconomy","PricePremium","PriceRelative","SeatsTotal","FractionPremiumSeats","PitchDifference","WidthDifference"
"279","Delta","Boeing",2.55,"Aug","Domestic",136,20,33,35,17,17,243,262,0.08,156,0.13,2,0
"280","Delta","Boeing",2.33,"Sep","Domestic",78,20,31,34,18,18,189,204,0.08,98,0.2,3,0
"281","Delta","Boeing",4.63,"Jul","Domestic",126,18,32,34,17,17,626,670,0.07,144,0.13,2,0
"282","Delta","Boeing",2.86,"Aug","Domestic",136,20,33,35,17,17,354,378,0.07,156,0.13,2,0
"283","Delta","Boeing",2.06,"Jul","Domestic",78,20,31,34,18,18,228,243,0.07,98,0.2,3,0
"284","Delta","Boeing",2.01,"Oct","Domestic",78,20,31,34,18,18,222,237,0.07,98,0.2,3,0
"285","Delta","Boeing",2.33,"Oct","Domestic",78,20,31,34,18,18,216,231,0.07,98,0.2,3,0
"286","Delta","Boeing",4.51,"Jul","Domestic",171,29,32,35,18,18,713,757,0.06,200,0.15,3,0
"287","Delta","AirBus",1.81,"Sep","Domestic",120,18,32,34,17,17,293,308,0.05,138,0.13,2,0
"288","Delta","AirBus",1.83,"Oct","Domestic",120,18,32,34,17,17,293,308,0.05,138,0.13,2,0
"289","Delta","Boeing",1.57,"Aug","Domestic",126,18,32,34,17,17,293,308,0.05,144,0.13,2,0
"290","Delta","Boeing",2.5,"Jul","Domestic",136,20,33,35,17,17,636,660,0.04,156,0.13,2,0
"291","Delta","AirBus",1.8,"Oct","Domestic",120,18,32,34,17,17,416,431,0.04,138,0.13,2,0
"292","Delta","Boeing",1.75,"Jul","Domestic",78,20,31,34,18,18,391,406,0.04,98,0.2,3,0
"293","Delta","Boeing",1.57,"Jul","Domestic",126,18,32,34,17,17,349,364,0.04,144,0.13,2,0
"294","Delta","Boeing",2.3,"Aug","Domestic",78,20,31,34,18,18,349,364,0.04,98,0.2,3,0
"295","Delta","Boeing",2.3,"Jul","Domestic",78,20,31,34,18,18,581,596,0.03,98,0.2,3,0
"296","Jet","Boeing",3.25,"Aug","International",124,16,30,40,17,21,167,483,1.89,140,0.11,10,4
"297","Jet","Boeing",3.25,"Sep","International",124,16,30,40,17,21,167,483,1.89,140,0.11,10,4
"298","Jet","Boeing",3.25,"Oct","International",124,16,30,40,17,21,167,483,1.89,140,0.11,10,4
"299","Jet","Boeing",3.25,"Jul","International",124,16,30,40,17,21,139,398,1.87,140,0.11,10,4
"300","Jet","Boeing",5.66,"Aug","International",162,8,30,40,17,21,201,545,1.71,170,0.05,10,4
"301","Jet","Boeing",3.16,"Jul","International",162,8,30,40,17,21,148,397,1.68,170,0.05,10,4
"302","Jet","Boeing",3.16,"Oct","International",162,8,30,40,17,21,148,397,1.68,170,0.05,10,4
"303","Jet","Boeing",3.25,"Oct","International",124,16,30,40,17,21,149,398,1.67,140,0.11,10,4
"304","Jet","Boeing",4.16,"Jul","International",124,16,30,40,17,21,197,520,1.64,140,0.11,10,4
"305","Jet","Boeing",4.16,"Oct","International",124,16,30,40,17,21,211,534,1.53,140,0.11,10,4
"306","Jet","AirBus",9.5,"Oct","International",147,21,32,38,18,19,336,841,1.5,168,0.13,6,1
"307","Jet","Boeing",5.66,"Jul","International",162,8,30,40,17,21,187,430,1.3,170,0.05,10,4
